case;channel;program;date;title;decision_date;decision
19_00374;SR;Naturmorgon;2019-02-02;P1, Naturmorgon, inslag om hur den nya budgeten påverkar landets naturskydd;2019-05-02;Acquittal
19_00377;SR;Eftermiddag i P4 Gotland;2019-02-01;Eftermiddag i P4 Gotland, inslag om en revy;2019-05-02;Acquittal
19_00470;SR;PP3, webben;2019-02-06;P3, PP3, inslag om sibetkaffe;2019-05-02;Acquittal
19_00478;SR;Lunchekot;2019-02-12;P1, Lunchekot, inslag om en omröstning i Australiens parlament;2019-04-12;Acquittal
19_00482;SR;Farah i P3;2019-02-12;Farah i P3, program om barn;2019-05-02;Acquittal
19_00534;SR;Morgon i P4 Uppland;2019-02-12;Morgon i P4 Uppland, inslag om norsk odlad lax;2019-09-30;Acquittal
19_00562;SR;Kulturnytt;2019-02-18;P1 Kultur, intervju med en pjäsförfattare;2019-05-22;Acquittal
19_00568;SR;P4 Extra;2019-02-18;P4 Extra, inslag med en pjäsförfattare;2019-05-02;Acquittal
19_00581;SR;Ekot;2019-02-19;P1, Ekot, inslag om en ordväxling på sociala medier mellan Sverige och Ungern;2019-05-02;Acquittal
19_00594;SR;Eftermiddag i P4 Örebro;2019-02-15;Eftermiddag i P4 Örebro, inslag om konstnärer;2019-05-02;Acquittal
19_00621;SR;Morgonpasset i P3;2019-02-21;Morgonpasset i P3, inslag om en person som hindrat en utvisning;2019-05-02;Acquittal
19_00628;SR;P4 Extra;2019-02-22;P4 Extra, inslag om teaterpjäs;2019-05-02;Acquittal
19_00677;SR;Helgen i P3;2019-02-24;Helgen i P3, inslag om matlagning;2019-05-02;Acquittal
19_00697;SR;Ring P1;2019-02-27;Ring P1, inslag med en inringande lyssnare;2019-05-22;Acquittal
19_00747;SR;Dagens eko;2019-03-04;P1, Dagens Eko, inslag om IS;2019-05-15;Acquittal
19_00863;SR;Bota mig!;2019-03-11;P1, Bota mig!, program om elektromagnetisk strålning;2019-12-20;Acquittal
19_00864;SR;P1-morgon;2019-03-13;P1-morgon, inslag en vårdnadstvist;2020-02-17;Acquittal
19_00881;SR;Fråga vad du vill i P3;2019-03-14;Fråga vad du vill i P3, program om våld mot kvinnor;2019-10-04;Acquittal
19_00896;SR;Plånboken;2019-02-20;P1, Plånboken, inslag om premiepension;2019-05-22;Acquittal
19_00899;SR;Bota mig!;2019-03-15;P1, Bota mig!, program om elektromagnetisk strålning;2019-12-20;Acquittal
19_00912;SR;Tankesmedjan;2019-03-13;P3, Tankesmedjan, inslag om Islamiska staten;2019-05-15;Acquittal
19_00919;SR;Radio Romano;2019-03-11;P2, Radio Romano, inslag om ett romskt samråd;2019-10-28;Acquittal
19_00928;SR;Dalanytt;2019-03-07;P4 Dalarna, Dalanytt och Eftermiddag i P4 Dalarna, inslag om en nominering av ett granskande reportage;2019-10-14;Acquittal
19_00976;SR;P1-morgon;2019-03-22;P1-morgon, inslag om medicinsk marijuana;2019-05-22;Acquittal
19_01024;SR;Ekot;2018-12-29;P1, Ekot, inslag om misstänkt fusk med assistansersättning;2019-05-15;Acquittal
19_01073;SR;God morgon, världen!;2019-03-31;P1, God morgon, världen! inslag med krönika och inslag om kristna värden;2019-05-15;Acquittal
19_01075;SR;Konflikt;2019-03-30;P1, Konflikt, program om den politiska utvecklingen i Israel;2019-06-13;Acquittal
19_01113;SR;Fråga vad du vill - Jag säljer vapen;2019-03-28;P3, Fråga vad du vill, program om person som arbetar med att sälja vapen;2019-05-15;Acquittal
19_01224;SR;Studio Ett;2019-04-09;P1, Studio Ett, inslag om val i Israel;2019-08-06;Acquittal
19_01232;SR;Vetenskapsradions veckomagasin;2019-04-05;P1, Vetenskapsradions veckomagasin, inslag om Venezuela;2019-05-22;Acquittal
19_01240;SR;Morgonpasset i P3;2019-04-10;Morgonpasset i P3, inslag om cykelstöld;2019-07-17;Acquittal
19_01251;SR;Ekonomiekot;2019-04-12;P1-morgon, inslag om damallsvenskans ekonomi;2019-08-06;Acquittal
19_01252;SR;Sportradion;2019-04-12;P1-morgon, inslag om damallsvenskans ekonomi;2019-08-06;Acquittal
19_01286;SR;Studio Ett;2019-04-12;P1, Studio Ett, inslag om flyktingar i Sydamerika;2019-05-22;Acquittal
19_01300;SR;Morgonpasset;2019-04-13;P3, Morgonpasset, inslag om en känd visselblåsare;2019-08-06;Acquittal
19_01447;SR;Spanarna;2019-04-20;P1 Spanarna, inslag om ett konstverk;2019-09-30;Acquittal
19_01571;SR;Nyheter i P4 Gävleborg;2019-03-08;SR, Lokala nyheter P4 Gävleborg, inslag om hanteringen av allmänna medel;2019-12-20;Conviction
19_01599;SR;Fråga vad du vill;2019-05-02;P3, Fråga vad du vill, intervju med en religionsgrundare;2019-06-13;Acquittal
19_01612;SR;Klartext;2019-05-06;P1, Klartext, inslag med en politiker;2019-07-17;Acquittal
19_01670;SR;Nyheter P4 Västerbotten;2019-05-12;P4 Västerbotten, lokala nyheter, inslag om 5G;2019-08-06;Acquittal
19_01671;SR;Radiokorrespondenterna;2019-05-12;P1, Radiokorrespondenterna, program om EU-valet;2019-08-06;Acquittal
19_01673;SR;P1-morgon;2019-05-13;P1-morgon, program med utfrågning av en EU-parlamentariker;2019-09-05;Acquittal
19_01686;SR;Studio Ett;2019-05-13;P1, Studio Ett, inslag med en intervju med en politiker från Nederländerna;2019-07-17;Acquittal
19_01728;SR;Fredag i P4;2019-05-17;Fredag i P4, humorinslag om prishöjningar;2019-07-17;Acquittal
19_01738;SR;Nyheter i P4 Västerbotten;2019-05-17;SR, Nyheter i P4 Västerbotten, inslag om 5G;2019-08-06;Acquittal
19_01741;SR;Människor och tro;2019-05-16;P1, Människor och tro, program om kristendom i Europa;2019-08-06;Acquittal
19_01770;SR;Ring P1;2019-05-22;Ring P1, inslag med inringande lyssnare;2019-07-17;Acquittal
19_01773;SR;Ekot;2019-05-22;P4 Göteborg, Ekot, inslag om en EU-parlamentariker;2019-07-17;Acquittal
19_01799;SR;Ring P1;2019-05-24;Ring P1, inslag med inringande lyssnare;2019-09-05;Acquittal
19_01806;SR;Studio Ett;2019-05-14;P1, Studio Ett, inslag om reportage om en EU-parlamentariker;2019-08-06;Acquittal
19_01825;SR;Lunchekot;2019-05-26;P1, Lunchekot, inslag om polska partier;2019-07-17;Acquittal
19_01906;SR;P4 Extra;2019-06-01;P4 Extra, inslag med en komiker;2019-07-17;Acquittal
19_01915;SR;SöndagsMorgon;2019-06-02;SöndagsMorgan i P4, inslag om en artists spelningar;2019-08-06;Acquittal
19_01930;SR;P4 Västerbotten, webben;2019-06-03;P4 Västerbotten, inslag om 5G;2019-08-06;Acquittal
19_01931;SR;Artikel, webben;2019-03-05;P4 Kronoberg, inslag om språkkurser i arabiska;2019-10-14;Acquittal
19_01952;SR;Kropp och själ;2019-06-05;P1, Kropp och själ, program om att höra röster;2019-08-06;Acquittal
19_01953;SR;P4 Västerbotten, Nyheterna;2019-05-10;Nyheter P4 Västerbotten, inslag om 5G;2019-08-06;Acquittal
19_01976;SR;SöndagsMorgon i P4;2019-06-09;SöndagsMorgan i P4, inslag om allemansrätten;2019-08-06;Acquittal
19_01984;SR;Ekot;2019-06-05;P1, Dagens eko, inslag om rekryteringsprocessen på en myndighet;2019-10-28;Acquittal
19_01987;SR;Medierna;2019-06-08;P1, Medierna, inslag om granskningsnämnden;2019-08-06;Acquittal
